Gene_SFARI_all,Gene_SFARI_high,Gene_SFARI_syndromic
ENSG00000110436,NA,NA
ENSG00000149742,NA,NA
ENSG00000155886,NA,NA
ENSG00000115840,NA,NA
ENSG00000013306,NA,NA
ENSG00000167114,NA,NA
ENSG00000164638,NA,NA
ENSG00000157637,NA,NA
ENSG00000162426,NA,NA
ENSG00000144290,NA,NA
ENSG00000157103,NA,NA
ENSG00000142319,NA,NA
ENSG00000108576,NA,NA
ENSG00000130821,NA,NA
ENSG00000165349,NA,NA
ENSG00000103257,NA,NA
ENSG00000155465,NA,NA
ENSG00000198689,NA,NA
ENSG00000181804,NA,NA
ENSG00000111700,NA,NA
ENSG00000165300,NA,NA
ENSG00000141646,NA,NA
ENSG00000080503,NA,NA
ENSG00000127616,NA,NA
ENSG00000106366,NA,NA
ENSG00000163393,NA,NA
ENSG00000153291,NA,NA
ENSG00000121073,NA,NA
ENSG00000139613,NA,NA
ENSG00000072501,NA,NA
ENSG00000108055,NA,NA
ENSG00000070366,NA,NA
ENSG00000198742,NA,NA
ENSG00000132639,NA,NA
ENSG00000197157,NA,NA
ENSG00000172554,NA,NA
ENSG00000135317,NA,NA
ENSG00000089006,NA,NA
ENSG00000142168,NA,NA
ENSG00000115904,NA,NA
ENSG00000134532,NA,NA
ENSG00000152583,NA,NA
ENSG00000021574,NA,NA
ENSG00000124614,NA,NA
ENSG00000149269,NA,NA
ENSG00000065526,NA,NA
ENSG00000072080,NA,NA
ENSG00000080603,NA,NA
ENSG00000196220,NA,NA
ENSG00000116754,NA,NA
ENSG00000197558,NA,NA
ENSG00000149136,NA,NA
ENSG00000007341,NA,NA
ENSG00000140557,NA,NA
ENSG00000118007,NA,NA
ENSG00000198648,NA,NA
ENSG00000106089,NA,NA
ENSG00000136854,NA,NA
ENSG00000164506,NA,NA
ENSG00000060140,NA,NA
ENSG00000169895,NA,NA
ENSG00000008056,NA,NA
ENSG00000157152,NA,NA
ENSG00000135316,NA,NA
ENSG00000131018,NA,NA
ENSG00000197283,NA,NA
ENSG00000159082,NA,NA
ENSG00000067715,NA,NA
ENSG00000103528,NA,NA
ENSG00000147133,NA,NA
ENSG00000103168,NA,NA
ENSG00000106290,NA,NA
ENSG00000170921,NA,NA
ENSG00000160551,NA,NA
ENSG00000149930,NA,NA
ENSG00000036054,NA,NA
ENSG00000156787,NA,NA
ENSG00000131374,NA,NA
ENSG00000145348,NA,NA
ENSG00000101849,NA,NA
ENSG00000177565,NA,NA
ENSG00000136535,NA,NA
ENSG00000184058,NA,NA
ENSG00000100207,NA,NA
ENSG00000196628,NA,NA
ENSG00000148737,NA,NA
ENSG00000151790,NA,NA
ENSG00000109927,NA,NA
ENSG00000132604,NA,NA
ENSG00000168769,NA,NA
ENSG00000137801,NA,NA
ENSG00000126351,NA,NA
ENSG00000146872,NA,NA
ENSG00000145107,NA,NA
ENSG00000168955,NA,NA
ENSG00000121775,NA,NA
ENSG00000185973,NA,NA
ENSG00000100354,NA,NA
ENSG00000100038,NA,NA
ENSG00000167014,NA,NA
ENSG00000131653,NA,NA
ENSG00000182400,NA,NA
ENSG00000167632,NA,NA
ENSG00000038382,NA,NA
ENSG00000153827,NA,NA
ENSG00000137672,NA,NA
ENSG00000134160,NA,NA
ENSG00000196367,NA,NA
ENSG00000165699,NA,NA
ENSG00000103197,NA,NA
ENSG00000121297,NA,NA
ENSG00000048140,NA,NA
ENSG00000214063,NA,NA
ENSG00000156298,NA,NA
ENSG00000129696,NA,NA
ENSG00000155657,NA,NA
ENSG00000275835,NA,NA
ENSG00000114062,NA,NA
ENSG00000005379,NA,NA
ENSG00000009335,NA,NA
ENSG00000157741,NA,NA
ENSG00000104517,NA,NA
ENSG00000087206,NA,NA
ENSG00000130477,NA,NA
ENSG00000133958,NA,NA
ENSG00000144406,NA,NA
ENSG00000151461,NA,NA
ENSG00000125351,NA,NA
ENSG00000042781,NA,NA
ENSG00000135655,NA,NA
ENSG00000123552,NA,NA
ENSG00000187555,NA,NA
ENSG00000124486,NA,NA
ENSG00000114374,NA,NA
ENSG00000220205,NA,NA
ENSG00000127831,NA,NA
ENSG00000132549,NA,NA
ENSG00000115705,NA,NA
ENSG00000197323,NA,NA
ENSG00000204815,NA,NA
ENSG00000186591,NA,NA
ENSG00000071246,NA,NA
ENSG00000111424,NA,NA
ENSG00000155659,NA,NA
ENSG00000095787,NA,NA
ENSG00000112290,NA,NA
ENSG00000163625,NA,NA
ENSG00000128815,NA,NA
ENSG00000162923,NA,NA
ENSG00000196632,NA,NA
ENSG00000125084,NA,NA
ENSG00000186153,NA,NA
ENSG00000154767,NA,NA
ENSG00000082898,NA,NA
ENSG00000163872,NA,NA
ENSG00000047188,NA,NA
ENSG00000108953,NA,NA
ENSG00000100811,NA,NA
ENSG00000109906,NA,NA
ENSG00000181722,NA,NA
ENSG00000058673,NA,NA
ENSG00000130749,NA,NA
ENSG00000072121,NA,NA
ENSG00000015171,NA,NA
ENSG00000154957,NA,NA
ENSG00000188994,NA,NA
ENSG00000144331,NA,NA
ENSG00000148143,NA,NA
ENSG00000197363,NA,NA
ENSG00000188785,NA,NA
ENSG00000188321,NA,NA
ENSG00000188171,NA,NA
ENSG00000178665,NA,NA
ENSG00000196391,NA,NA
ENSG00000170396,NA,NA
ENSG00000151612,NA,NA
ENSG00000130449,NA,NA
ENSG00000174442,NA,NA
